,h1,h2,h3,a1,a2,a3,f1,f2,f3,x1,x2,x3
170,-0.206567,0.046291000000000006,0.34576,-0.184876,0.029623000000000003,0.320629,-0.19964,0.025885,0.354874,-0.199641,0.025887,0.354871
171,-0.194971,0.125114,0.26635,-0.21359699999999998,0.13633900000000002,0.190052,-0.184546,0.128178,0.24402,-0.212881,0.131124,0.255229
172,-0.074822,0.152198,0.375781,-0.11776199999999999,0.15385,0.351274,-0.04892,0.125209,0.378548,-0.053849,0.14935,0.369363
173,-0.15002100000000002,0.09198200000000001,0.322817,-0.145775,0.045924,0.321792,-0.144048,0.05876,0.340767,-0.14405,0.05876,0.340769
174,-0.225215,-0.005654,0.260127,-0.190664,-0.000331,0.275499,-0.217179,-0.012303,0.274727,-0.21718,-0.012299,0.274725
175,-0.160436,0.000644,0.35407,-0.156662,-0.009831,0.294086,-0.148694,-0.008211,0.349625,-0.148694,-0.008209000000000001,0.349624
176,-0.175559,0.011713,0.336571,-0.153416,-0.010477,0.29335700000000003,-0.158149,-0.008221,0.338008,-0.158149,-0.008219,0.338006
177,-0.170742,0.010089,0.387693,-0.17944300000000002,0.02901,0.32905500000000004,-0.178597,0.025873,0.381558,-0.17810399999999998,0.0287,0.376345
178,-0.144992,0.092711,0.31928,-0.165889,0.08996799999999999,0.312956,-0.154283,0.096412,0.326092,-0.160967,0.095773,0.333119
179,-0.195975,-0.009087999999999999,0.28511,-0.162026,-0.017262,0.273138,-0.182482,-0.023785,0.290821,-0.182482,-0.023784,0.29082
180,-0.22372199999999998,0.002945,0.24918200000000001,-0.191313,0.001936,0.26023,-0.2212,0.0015949999999999998,0.255189,-0.221201,0.001598,0.255188
181,-0.23818699999999998,-0.008572,0.23779,-0.21133600000000002,0.0036229999999999995,0.25555700000000003,-0.23917600000000006,-0.006161,0.251614,-0.239177,-0.006154,0.25161100000000003
182,-0.17038699999999998,0.089077,0.34338,-0.16400599999999999,0.061496,0.31992600000000004,-0.177482,0.072224,0.336625,-0.177485,0.072226,0.336624
183,-0.150025,-0.060913,0.34720300000000004,-0.192563,-0.016753999999999998,0.28263,-0.177106,-0.051138,0.323682,-0.176332,-0.042027,0.316595
184,-0.13071,-0.073282,0.35473299999999997,-0.19964300000000001,-0.019405000000000002,0.278661,-0.171584,-0.06579199999999999,0.324262,-0.170684,-0.046901,0.310594
185,-0.15417899999999998,-0.085953,0.348538,-0.220477,-0.007176,0.28167600000000004,-0.205488,-0.070903,0.325958,-0.199652,-0.045152,0.307519
186,-0.235029,-0.036792,0.25622399999999995,-0.215692,0.00022,0.264218,-0.234567,-0.024295,0.272753,-0.234564,-0.024259,0.272729
187,-0.105325,0.129269,0.364437,-0.148144,0.1506,0.32671,-0.1097,0.137447,0.355793,-0.114792,0.138854,0.365088
